id,Date,Location,Artist,Venue,Lineup,Gear Notes,Link,Created on
140,2022-12-11,"Solana Beach, CA",Liam Kazar,Belly Up Tavern,"The New Pornographers, Liam Kazar",Whitehall (nested) with orange Acrolyte,,2025-08-03
141,2022-12-13,"Phoenix, AZ",Liam Kazar,Valley Bar,Liam Kazar,Whitehall (nested) with orange Acrolyte,,2025-08-03
142,2022-12-14,"Santa Fe, NM",Liam Kazar,Tumbleroot Brewery,Liam Kazar,Whitehall (nested) with orange Acrolyte,,2025-08-03
143,2022-12-16,"Austin, TX",Liam Kazar,The Mohawk Indoors,"Liam Kazar, Dorio",Whitehall (nested) with orange Acrolyte,,2025-08-03
144,2022-12-17,"Dallas, TX",Liam Kazar,Ruins,"Liam Kazar, Yellow Jones",Whitehall (nested) with orange Acrolyte,,2025-08-03
145,2022-12-18,"Oklahoma City, OK",Liam Kazar,Ponyboy,"Liam Kazar, This Coast Bias",Whitehall (nested) with orange Acrolyte,,2025-08-03
146,2022-12-19,"Chicago, IL",Alaina Stacey,Constellation,24 Hour Marathon,Constellation C&C backline with orange Acrolyte,,2025-08-03
147,2022-12-19,"Chicago, IL",The Blisters,Constellation,24 Hour Marathon,Constellation C&C backline with orange Acrolyte,,2025-08-03
148,2022-12-20,"Chicago, IL",Sammy Tweedy and Spencer Tweedy,Constellation,24 Hour Marathon,Constellation C&C backline with orange Acrolyte,,2025-08-03
149,2022-12-21,"Chicago, IL",Liam Kazar,Thalia Hall,"Whitney, Liam Kazar",Whitehall (nested) with orange Acrolyte,,2025-08-03
150,2022-12-29,"Chicago, IL",Liam Kazar,Hungry Brain,"Liam Kazar, Tasha, Morinda",Red Onyx Slingerland with orange Acrolyte snare,,2025-08-03
151,2022-12-30,"Chicago, IL",Liam Kazar,Hungry Brain,"Liam Kazar, Macie Stewart",Red Onyx Slingerland with orange Acrolyte snare,,2025-08-03
152,2023-01-04,"Durham, NC",Waxahatchee,Pinhook,"Waxahatchee, Kym Register, Meltdown Rodeo",Joe Westerlund’s drums,,2025-08-03
153,2023-02-11,"Miami, FL",Courtney Marie Andrews,Norwegian Pearl,Cayamo,Backline,,2025-08-03
154,2023-02-14,"Miami, FL",Jeff Tweedy,Norwegian Pearl,Cayamo,Backline,,2025-08-03
155,2023-02-15,"Miami, FL",Brady Blade Extravaganza,Norwegian Pearl,Cayamo,Backline,,2025-08-03
156,2023-02-15,"Miami, FL",Devon Gilfilian and the Black Opry,Norwegian Pearl,Cayamo,Backline,,2025-08-03
157,2023-02-24,"Chicago, IL",Henry True,Schubas,"Free Range, Minor Moon, Henry True",Jack Henry kit,,2025-08-03
158,2023-03-01,"Chicago, IL",Lucky Cloud,Empty Bottle,"Jodi, Lucky Cloud, Shoulderbird",Jodi drummer’s kit,,2025-08-03
159,2023-03-18,"Chicago, IL",Case Oats,Golden Dagger,"Case Oats, Dusk",Amos’s drums?,,2025-08-03
160,2023-03-26,"Chicago, IL",Lucky Cloud,,,,,2025-08-03
161,2023-04-01,"Chicago, IL",Henry True,Color Club,"Scout Gillett, The Bascinets, Henry True",One of the other band’s drums,,2025-08-03
162,2023-04-14,"Chicago, IL",Cosmic Country Showcase,Sleeping Village,Cosmic Country Showcase feat. Honey Harper,Red Onyx Slingerland with orange Acrolyte snare,,2025-08-03
163,2023-04-15,"Milwaukee, WI",Cosmic Country Showcase,Cactus Club,Cosmic Country Showcase feat. Honey Harper,Red Onyx Slingerland with orange Acrolyte snare,,2025-08-03
164,2023-04-29,"Chicago, IL",Horizon of Darkness,Metro,"Eleventh Dream Day, Lifeguard, Horizon of Darkness",Red Onyx Slingerland with orange Acrolyte snare,,2025-08-03
165,2023-05-07,"Chicago, IL",Lucky Cloud,Gossip Farm,,Jack Henry’s kit with my orange Acrolyte snare,,2025-08-03
166,2023-06-01,"Three Oaks, MI",Cosmic Country Showcase,Acorn Theater,Cosmic Country Showcase,Red Onyx Slingerland with orange Acrolyte snare,,2025-08-03
167,2023-06-02,"Chicago, IL",Cosmic Country Showcase,Constellation,Cosmic Country Showcase,Red Onyx Slingerland with orange Acrolyte snare,,2025-08-03
168,2023-06-09,"Chicago, IL",Sima Cunningham,Hungry Brain,"Sima Cunningham, Hannah Frances",Red Onyx Slingerland with orange Acrolyte snare,,2025-08-03
169,2023-06-10,"Chicago, IL",Sima Cunningham,Hungry Brain,"Sima Cunningham, Hannah Frances",Red Onyx Slingerland with orange Acrolyte snare,,2025-08-03
170,2023-06-27,"Chicago, IL",Case Oats,Sleeping Village,"Greg Freeman, Case Oats, Hemlock",,,2025-08-03
171,2023-06-30,"Chicago, IL",Lucky Cloud,Cole’s Bar,"Bubbles Brown, Elijah Berlow, Lucky Cloud",Bubble Brown’s drummer’s drums,,2025-08-03
172,2023-07-01,"Chicago, IL",Sammy Tweedy and Spencer Tweedy,Hungry Brain,Sammy Tweedy and Spencer Tweedy,House kit and Nord Drum,,2025-08-03
173,2023-07-05,"Chicago, IL",Henry True,Golden Dagger,"Henry True, Ari Lindo, Elizabeth Moen",Red Onyx Slingerland with orange Acrolyte snare,,2025-08-03
174,2023-07-08,"Chicago, IL",Cosmic Country Showcase,Square Roots Festival,Square Roots Festival,Backline with my orange Acrolyte snare,,2025-08-03
175,2023-07-09,"Chicago, IL",Henry True,Gossip Farm,"Case Oats, Henry True, Red PK, Lydia cover band",Jack Henry kit,,2025-08-03
176,2023-07-10,"Chicago, IL",Cosmic Country Showcase,Carol’s Pub,Alex Grelle and Andrew Sa with Cosmic Country Showcase,Red Onyx Slingerland with orange Acrolyte snare,,2025-08-03
177,2023-07-16,"Chicago, IL",Sima Cunningham,Sleeping Village,"Alicia Walter, Carlile, Sima Cunningham",Alicia’s drummer’s drums,,2025-08-03
178,2023-07-22,"Chicago, IL",MJ Lenderman,Pitchfork Music Festival,Pitchfork Music Festival,Backline with my orange Acrolyte snare,,2025-08-03
179,2023-07-24,"Chicago, IL",Finom,Pritzker Pavilion,"Kurt Vile, Finom",Red Onyx Slingerland with orange Acrolyte snare,,2025-08-03
180,2023-08-04,"Ripon, WI",Henry True,Avrom Farm,Avrom Farm Party,Whitehall with orange Acrolyte snare,,2025-08-03
